,M1_R1,M1_R2,M1_R3,M1_R4,M2a_R1,M2a_R2,M2a_R3,M2a_R4,M2c_R1,M2c_R2,M2c_R3,M2c_R4,Majority protein IDs,UniProt ID,Entry Name,M1_Group,M2a_Group_1,M2c_Group_2,M1vsM2a_log2FC,M1vsM2c_log2FC,M2avsM2c_log2FC,M1vsM2a_p,M1vsM2c_p,M2avsM2c_p,M1vsM2a_FDR,M1vsM2c_FDR,M2avsM2c_FDR
0,1.465232157,1.913731919,2.522692631,1.949291848,1.543002294,1.866165313,1.873593669,1.548615108,1.616193647,0.909913968,1.245581177,1.437484347,sp|P0DPI2|GAL3A_HUMAN,P0DPI2,GAL3A,4,4,4,0.254893043,0.660443854,0.405550811,0.41016212,0.065680784,0.078499278,0.59041133,0.162217998,0.343991162
1,-2.294397755,-1.685343686,-1.54289113,-0.391455539,-1.046023966,-1.085996139,-0.955219362,-1.225779565,-0.781449453,-1.024565597,-0.879013913,-0.910519446,sp|A0AV96|RBM47_HUMAN,A0AV96,RBM47,4,4,4,-0.40026727,-0.579634925,-0.179367656,0.331962873,0.173795063,0.26144379,0.510881747,0.317194245,0.554650286
2,0.281594086,0.233183679,-0.810902858,-1.284034551,0.048595291,0.223829139,-0.072015449,0.40524169,0.384734519,0.267037758,0.163812274,0.36485775,sp|A0AVT1|UBA6_HUMAN,A0AVT1,UBA6,4,4,4,-0.546452579,-0.690150486,-0.143697907,0.195426593,0.107913661,0.412629458,0.36161204,0.227506023,0.694637248
3,-0.748402269,-0.421630792,0.163253549,0.167847082,-1.396802097,-1.108571486,-1.358408598,-0.720152411,-1.685304089,-1.761230933,-1.126424346,-1.122180731,sp|A0FGR8|ESYT2_HUMAN,A0FGR8,ESYT2,4,4,4,0.936250541,1.214051917,0.277801377,0.014919236,0.004304922,0.278275651,0.064724526,0.024364177,0.571517663
4,0.623667058,0.080694459,-1.064004115,-4.130121868,-0.136742986,-0.011487691,0.060446926,0.186437747,-0.364015296,-0.550495247,0.026386943,0.401015223,sp|A0MZ66|SHOT1_HUMAN,A0MZ66,SHOT1,4,4,4,-1.147104615,-1.000664023,0.146440593,0.219235821,0.279777838,0.544569955,0.388696163,0.44172103,0.782622248
5,-1.185467173,-1.482564948,-2.59140656,-2.256650072,0.012919127,-1.327747081,-2.332067618,-1.844324781,-2.82219347,-2.420931872,-2.821755648,-2.536013745,sp|A1A4S6|RHG10_HUMAN,A1A4S6,RHG10,4,2,0,-0.5062171,0.771201496,1.277418596,0.361905691,0.05897788,0.022836454,0.541378509,0.151364942,0.200401986
6,-0.13648109,0.543994561,0.845001455,1.152546579,-0.436889282,-0.027911443,0.214546523,0.743194,-0.748354827,-1.209730256,-0.255045239,0.329059835,sp|A1L0T0|ILVBL_HUMAN,A1L0T0,ILVBL,4,4,4,0.478030427,1.072282998,0.594252571,0.228705275,0.027024763,0.150562824,0.398171759,0.08809667,0.448718536
7,-2.004133604,-3.103281511,-0.767185144,-0.948941402,-2.789829334,-1.881431427,-0.434937088,-3.994154026,-1.832513736,-0.737533286,-2.154814092,-1.588061812,sp|A1X283|SPD2B_HUMAN,A1X283,SPD2B,2,2,3,0.569202553,-0.127654684,-0.696857237,0.475426376,0.81766437,0.348381448,0.647601485,0.890715889,0.636222732
8,-2.792528811,-1.074491827,-2.259192391,-1.408076086,-3.190134551,-4.220767121,-3.57316184,-3.573160667,-2.960845219,-2.931401644,-1.941584671,-3.364195177,sp|A2RRP1|NBAS_HUMAN,A2RRP1,NBAS,3,1,1,1.755733766,0.915934399,-0.839799367,0.00211262,0.072383748,0.038711652,0.017314515,0.172519563,0.249833238
9,-2.058391339,-4.08599929,-0.546030577,-0.263203486,-3.367375714,-3.327837076,-3.492584319,-2.784227806,-3.030483889,-2.077141171,-1.605542552,-0.911694298,sp|A2RUS2|DEND3_HUMAN,A2RUS2,DEND3,2,0,2,1.504600056,0.167809304,-1.336790752,0.07074494,0.838223616,0.012733278,0.182360957,0.903202191,0.153120392
