Name	Length	EffectiveLength	TPM	NumReads
ENST00000641515.2	2618	2442.331	0.000000	0.000
ENST00000335137.4	1054	878.331	0.000000	0.000
ENST00000426406.3	995	819.331	0.000000	0.000
ENST00000420190.6	1578	1402.331	0.000000	0.000
ENST00000437963.5	387	213.066	0.000000	0.000
ENST00000342066.8	2557	2381.331	0.000000	0.000
ENST00000618181.4	2179	2003.331	0.000000	0.000
ENST00000622503.4	2557	2381.331	0.000000	0.000
ENST00000618323.4	2159	1983.331	0.000000	0.000
ENST00000616016.4	2391	2215.331	0.000000	0.000
ENST00000618779.4	2368	2192.331	0.000000	0.000
ENST00000616125.4	2230	2054.331	0.000000	0.000
ENST00000620200.4	1874	1698.331	0.000000	0.000
ENST00000617307.4	2314	2138.331	0.000000	0.000
ENST00000341065.8	2191	2015.331	0.000000	0.000
ENST00000455979.1	1731	1555.331	0.000000	0.000
ENST00000327044.7	2757	2581.331	15.871881	968.498
ENST00000338591.8	2567	2391.331	0.821566	46.442
ENST00000622660.1	1950	1774.331	0.000000	0.000
ENST00000379410.8	3176	3000.331	0.302100	21.426
ENST00000379409.6	2455	2279.331	0.146210	7.878
ENST00000379407.7	2194	2018.331	0.114213	5.449
ENST00000491024.1	698	522.386	0.182225	2.250
ENST00000341290.6	3035	2859.331	0.000000	0.000
ENST00000433179.3	3340	3164.331	0.000000	0.000
ENST00000428771.6	1040	864.331	2.498920	51.057
ENST00000304952.10	899	723.354	3.906520	66.799
ENST00000484667.2	667	491.400	2.438186	28.322
ENST00000624697.4	787	611.362	0.121610	1.757
ENST00000624652.1	657	481.402	0.000000	0.000
ENST00000649529.1	637	461.409	2456.596976	26794.575
ENST00000379370.7	7326	7150.331	41.119868	6950.318
ENST00000620552.4	7394	7218.331	0.309578	52.824
ENST00000652369.1	7408	7232.331	0.040064	6.850
ENST00000651234.1	7477	7301.331	0.000000	0.000
ENST00000453464.3	1900	1724.331	0.000000	0.000
ENST00000379339.5	2429	2253.331	0.000000	0.000
ENST00000421241.6	1841	1665.331	1.177761	46.364
ENST00000379320.5	2324	2148.331	0.000000	0.000
ENST00000379319.5	1097	921.331	0.000000	0.000
ENST00000434641.5	842	666.358	0.000000	0.000
ENST00000462097.5	836	660.359	0.000000	0.000
ENST00000475119.5	740	564.370	0.000000	0.000
ENST00000442117.5	554	378.486	0.000000	0.000
ENST00000427787.5	575	399.454	0.000000	0.000
ENST00000480643.1	579	403.449	0.209708	2.000
ENST00000379290.6	2307	2131.331	0.000000	0.000
ENST00000379289.6	2288	2112.331	0.000000	0.000
ENST00000673999.1	568	392.463	0.000000	0.000
ENST00000379288.3	2114	1938.331	0.000000	0.000
ENST00000328596.10	851	675.357	0.000000	0.000
ENST00000379268.7	1083	907.331	0.000000	0.000
ENST00000486728.5	727	551.375	0.199623	2.602
ENST00000379265.5	705	529.385	0.199034	2.491
ENST00000379236.4	1075	899.331	9.566099	203.367
ENST00000360001.11	1956	1780.331	74.701668	3143.821
ENST00000660930.1	2137	1961.331	4.850187	224.872
ENST00000263741.12	2079	1903.331	0.000000	0.000
ENST00000655486.1	1089	913.331	56.455803	1218.887
ENST00000403997.2	728	552.375	0.000000	0.000
ENST00000379198.5	2805	2629.331	8.970170	557.536
ENST00000330388.2	1036	860.331	0.000000	0.000
ENST00000347370.6	2387	2211.331	2.477847	129.525
ENST00000349431.10	1733	1557.331	9.466549	348.497
ENST00000400929.6	1057	881.331	0.000000	0.000
ENST00000360466.6	1047	871.331	1.712035	35.263
ENST00000400930.8	1021	845.331	1.094406	21.869
ENST00000435198.5	1056	880.331	0.105655	2.199
ENST00000509720.5	472	296.805	0.485546	3.407
ENST00000422076.5	643	467.407	0.000000	0.000
ENST00000502382.1	530	354.536	0.311159	2.608
ENST00000488418.2	750	574.369	0.594213	8.068
ENST00000379116.10	3050	2874.331	0.000000	0.000
ENST00000338555.6	3475	3299.331	0.000000	0.000
ENST00000400928.7	2731	2555.331	0.000000	0.000
ENST00000470022.1	645	469.406	0.000000	0.000
ENST00000325425.12	2679	2503.331	0.067595	4.000
ENST00000379099.3	923	747.349	0.000000	0.000
ENST00000354700.10	3793	3617.331	2.649413	226.550
ENST00000353662.4	2280	2104.331	0.000000	0.000
ENST00000379031.10	1257	1081.331	4.618525	118.056
ENST00000467712.1	877	701.355	0.000000	0.000
ENST00000540437.5	2629	2453.331	0.000000	0.000
ENST00000545578.5	2263	2087.331	0.000000	0.000
ENST00000620829.4	1862	1686.331	0.000000	0.000
ENST00000618806.4	1523	1347.331	0.000000	0.000
ENST00000435064.5	2148	1972.331	14.684221	684.632
ENST00000411962.5	1832	1656.331	0.000000	0.000
ENST00000421495.6	1868	1692.331	0.147941	5.918
ENST00000419704.5	1798	1622.331	0.000000	0.000
ENST00000450926.6	1839	1663.331	0.000000	0.000
ENST00000434694.6	1056	880.331	0.000000	0.000
ENST00000526332.5	579	403.449	0.000000	0.000
ENST00000527719.5	750	574.369	0.000000	0.000
ENST00000530031.5	800	624.361	0.000000	0.000
ENST00000429572.5	1104	928.331	0.674633	14.805
ENST00000534345.5	485	309.723	0.313987	2.299
ENST00000498476.6	554	378.486	0.000000	0.000
ENST00000343938.9	2154	1978.331	5.299649	247.841
ENST00000488011.1	783	607.363	0.178595	2.564
ENST00000339381.6	3475	3299.331	0.025644	2.000
ENST00000378891.9	2926	2750.331	6.500538	422.631
ENST00000378888.10	3305	3129.331	1.147204	84.863
ENST00000610709.2	2268	2092.331	0.000000	0.000
ENST00000632445.1	785	609.362	0.000000	0.000
ENST00000631679.1	778	602.365	0.000000	0.000
ENST00000342753.8	2231	2055.331	0.000000	0.000
ENST00000309212.10	2273	2097.331	0.000000	0.000
ENST00000445648.5	2001	1825.331	0.000000	0.000
ENST00000477278.3	2728	2552.331	0.000000	0.000
ENST00000338370.7	1072	896.331	1.472920	31.209
ENST00000338338.9	1047	871.331	9.367212	192.939
ENST00000321751.9	798	622.362	10.398654	152.984
ENST00000378853.3	875	699.355	15.267559	252.403
ENST00000400809.8	3112	2936.331	3.009573	208.899
ENST00000408952.8	1857	1681.331	0.000000	0.000
ENST00000408918.8	1186	1010.331	5.530620	132.088
ENST00000497013.1	548	372.496	0.000000	0.000
ENST00000344843.12	700	524.386	34.286412	425.011
ENST00000492508.1	588	412.438	0.424988	4.143
ENST00000482352.1	1049	873.331	0.177456	3.664
ENST00000520296.5	1632	1456.331	0.092782	3.194
ENST00000427211.3	1976	1800.331	0.000000	0.000
ENST00000537107.5	2190	2014.331	0.000000	0.000
ENST00000454272.2	1506	1330.331	0.000000	0.000
ENST00000442470.1	876	700.355	0.000000	0.000
ENST00000378821.3	492	316.687	0.000000	0.000
ENST00000495558.1	819	643.360	0.598075	9.096
ENST00000338660.5	2147	1971.331	1.099441	51.234
ENST00000476993.2	4492	4316.331	0.124179	12.670
ENST00000471398.1	458	282.907	0.000000	0.000
ENST00000378785.7	3864	3688.331	0.057835	5.043
ENST00000475091.2	525	349.555	0.000000	0.000
ENST00000673477.1	4098	3922.331	0.169917	15.755
ENST00000308647.8	2114	1938.331	3.290488	150.770
ENST00000378756.8	2481	2305.331	5.734496	312.504
ENST00000378755.9	2612	2436.331	0.000000	0.000
ENST00000536055.6	2330	2154.331	0.000000	0.000
ENST00000400830.4	830	654.360	0.000000	0.000
ENST00000378733.9	1381	1205.331	0.000000	0.000
ENST00000425828.1	717	541.378	0.000000	0.000
ENST00000624426.1	796	620.362	0.000000	0.000
ENST00000291386.4	1284	1108.331	41.910732	1098.048
ENST00000359060.5	4176	4000.331	1.770382	167.413
ENST00000422725.4	2124	1948.331	1.327929	61.160
ENST00000520777.5	3321	3145.331	0.389512	28.961
ENST00000355826.9	3290	3114.331	0.751583	55.331
ENST00000518681.5	3116	2940.331	0.000000	0.000
ENST00000505820.6	3305	3129.331	0.000000	0.000
