Name	Length	EffectiveLength	TPM	NumReads
ENST00000641515.2	2618	2367.005	0.000000	0.000
ENST00000335137.4	1054	803.005	0.000000	0.000
ENST00000426406.3	995	744.007	0.000000	0.000
ENST00000420190.6	1578	1327.005	0.000000	0.000
ENST00000437963.5	387	153.805	0.000000	0.000
ENST00000342066.8	2557	2306.005	0.000000	0.000
ENST00000618181.4	2179	1928.005	0.000000	0.000
ENST00000622503.4	2557	2306.005	0.000000	0.000
ENST00000618323.4	2159	1908.005	0.000000	0.000
ENST00000616016.4	2391	2140.005	0.000000	0.000
ENST00000618779.4	2368	2117.005	0.000000	0.000
ENST00000616125.4	2230	1979.005	0.000000	0.000
ENST00000620200.4	1874	1623.005	0.000000	0.000
ENST00000617307.4	2314	2063.005	0.000000	0.000
ENST00000341065.8	2191	1940.005	0.000000	0.000
ENST00000455979.1	1731	1480.005	0.000000	0.000
ENST00000327044.7	2757	2506.005	14.452070	993.895
ENST00000338591.8	2567	2316.005	0.872151	55.432
ENST00000622660.1	1950	1699.005	1.008733	47.033
ENST00000379410.8	3176	2925.005	1.771544	142.202
ENST00000379409.6	2455	2204.005	0.553998	33.508
ENST00000379407.7	2194	1943.005	0.099200	5.289
ENST00000491024.1	698	447.457	0.000000	0.000
ENST00000341290.6	3035	2784.005	0.000000	0.000
ENST00000433179.3	3340	3089.005	0.000000	0.000
ENST00000428771.6	1040	789.005	1.925331	41.688
ENST00000304952.10	899	648.025	10.850858	192.968
ENST00000484667.2	667	416.697	0.726800	8.311
ENST00000624697.4	787	536.124	0.092553	1.362
ENST00000624652.1	657	406.806	0.000000	0.000
ENST00000649529.1	637	387.052	1760.685937	18701.638
ENST00000379370.7	7326	7075.005	44.277871	8596.904
ENST00000620552.4	7394	7143.005	0.484159	94.907
ENST00000652369.1	7408	7157.005	0.000000	0.000
ENST00000651234.1	7477	7226.005	0.000000	0.000
ENST00000453464.3	1900	1649.005	0.000000	0.000
ENST00000379339.5	2429	2178.005	0.101515	6.068
ENST00000421241.6	1841	1590.005	3.160533	137.907
ENST00000379320.5	2324	2073.005	0.000000	0.000
ENST00000379319.5	1097	846.005	0.000000	0.000
ENST00000434641.5	842	591.052	0.000000	0.000
ENST00000462097.5	836	585.059	0.087599	1.406
ENST00000475119.5	740	489.255	0.158922	2.134
ENST00000442117.5	554	305.929	0.157748	1.324
ENST00000427787.5	575	326.280	0.000000	0.000
ENST00000480643.1	579	330.159	0.000000	0.000
ENST00000379290.6	2307	2056.005	0.000000	0.000
ENST00000379289.6	2288	2037.005	0.000000	0.000
ENST00000673999.1	568	319.481	0.000000	0.000
ENST00000379288.3	2114	1863.005	0.000000	0.000
ENST00000328596.10	851	600.047	0.000000	0.000
ENST00000379268.7	1083	832.005	5.984040	136.631
ENST00000486728.5	727	476.306	0.126244	1.650
ENST00000379265.5	705	454.423	1.100097	13.719
ENST00000379236.4	1075	824.005	20.914994	472.951
ENST00000360001.11	1956	1705.005	126.847675	5935.219
ENST00000660930.1	2137	1886.005	10.750143	556.398
ENST00000263741.12	2079	1828.005	0.000000	0.000
ENST00000655486.1	1089	838.005	41.028595	943.543
ENST00000403997.2	728	477.301	0.000000	0.000
ENST00000379198.5	2805	2554.005	10.001559	701.000
ENST00000330388.2	1036	785.005	0.046411	1.000
ENST00000347370.6	2387	2136.005	3.617103	212.027
ENST00000349431.10	1733	1482.005	16.955534	689.588
