Name	Length	EffectiveLength	TPM	NumReads
ENST00000641515.2	2618	2448.552	0.000000	0.000
ENST00000335137.4	1054	884.552	0.000000	0.000
ENST00000426406.3	995	825.552	0.000000	0.000
ENST00000420190.6	1578	1408.552	0.043365	3.733
ENST00000437963.5	387	218.046	0.000000	0.000
ENST00000342066.8	2557	2387.552	0.000000	0.000
ENST00000618181.4	2179	2009.552	0.000000	0.000
ENST00000622503.4	2557	2387.552	0.000000	0.000
ENST00000618323.4	2159	1989.552	0.000000	0.000
ENST00000616016.4	2391	2221.552	0.000000	0.000
ENST00000618779.4	2368	2198.552	0.068985	9.269
ENST00000616125.4	2230	2060.552	0.000000	0.000
ENST00000620200.4	1874	1704.552	0.000000	0.000
ENST00000617307.4	2314	2144.552	0.000000	0.000
ENST00000341065.8	2191	2021.552	0.000000	0.000
ENST00000455979.1	1731	1561.552	0.000000	0.000
ENST00000327044.7	2757	2587.552	13.334577	2108.691
ENST00000338591.8	2567	2397.552	1.378538	201.991
ENST00000622660.1	1950	1780.552	0.945843	102.924
ENST00000379410.8	3176	3006.552	0.315823	58.031
ENST00000379409.6	2455	2285.552	0.000000	0.000
ENST00000379407.7	2194	2024.552	0.048245	5.969
ENST00000491024.1	698	528.575	0.000000	0.000
ENST00000341290.6	3035	2865.552	0.000000	0.000
ENST00000433179.3	3340	3170.552	0.000000	0.000
ENST00000428771.6	1040	870.552	0.000000	0.000
ENST00000304952.10	899	729.560	0.145345	6.480
ENST00000484667.2	667	497.582	0.000000	0.000
ENST00000624697.4	787	617.569	0.000000	0.000
ENST00000624652.1	657	487.583	0.000000	0.000
ENST00000649529.1	637	467.584	30.659619	876.134
ENST00000379370.7	7326	7156.552	11.871189	5192.094
ENST00000620552.4	7394	7224.552	0.166547	73.535
ENST00000652369.1	7408	7238.552	0.026926	11.911
ENST00000651234.1	7477	7307.552	0.000000	0.000
ENST00000453464.3	1900	1730.552	0.000000	0.000
ENST00000379339.5	2429	2259.552	0.125250	17.296
ENST00000421241.6	1841	1671.552	3.336441	340.838
ENST00000379320.5	2324	2154.552	0.017290	2.277
ENST00000379319.5	1097	927.552	0.000000	0.000
ENST00000434641.5	842	672.564	0.000000	0.000
ENST00000462097.5	836	666.564	0.000000	0.000
ENST00000475119.5	740	570.571	0.000000	0.000
ENST00000442117.5	554	384.594	0.000000	0.000
ENST00000427787.5	575	405.590	0.186617	4.626
ENST00000480643.1	579	409.590	0.040342	1.010
ENST00000379290.6	2307	2137.552	0.000000	0.000
ENST00000379289.6	2288	2118.552	0.000000	0.000
ENST00000673999.1	568	398.591	0.000000	0.000
ENST00000379288.3	2114	1944.552	0.000000	0.000
ENST00000328596.10	851	681.564	0.000000	0.000
ENST00000379268.7	1083	913.552	0.214933	12.000
ENST00000486728.5	727	557.571	0.000000	0.000
ENST00000379265.5	705	535.573	0.000000	0.000
ENST00000379236.4	1075	905.552	0.090347	5.000
ENST00000360001.11	1956	1786.552	78.596511	8581.506
ENST00000660930.1	2137	1967.552	0.846374	101.773
ENST00000263741.12	2079	1909.552	3.562109	415.703
ENST00000655486.1	1089	919.552	51.250410	2880.171
ENST00000403997.2	728	558.571	0.742514	25.347
ENST00000379198.5	2805	2635.552	10.784121	1737.004
ENST00000330388.2	1036	866.552	0.062067	3.287
ENST00000347370.6	2387	2217.552	4.509929	611.207
ENST00000349431.10	1733	1563.552	14.015610	1339.272
ENST00000400929.6	1057	887.552	10.379611	563.014
ENST00000360466.6	1047	877.552	0.351762	18.865
ENST00000400930.8	1021	851.552	0.935101	48.665
ENST00000435198.5	1056	886.552	0.202847	10.991
ENST00000509720.5	472	302.649	0.000000	0.000
ENST00000422076.5	643	473.583	0.000000	0.000
ENST00000502382.1	530	360.601	0.121203	2.671
ENST00000488418.2	750	580.570	0.198012	7.026
ENST00000379116.10	3050	2880.552	0.000000	0.000
ENST00000338555.6	3475	3305.552	0.121393	24.524
ENST00000400928.7	2731	2561.552	0.272395	42.643
ENST00000470022.1	645	475.583	0.046740	1.359
ENST00000325425.12	2679	2509.552	0.000000	0.000
ENST00000379099.3	923	753.559	0.207907	9.575
ENST00000354700.10	3793	3623.552	8.394681	1859.016
ENST00000353662.4	2280	2110.552	0.000000	0.000
ENST00000379031.10	1257	1087.552	8.391006	557.710
ENST00000467712.1	877	707.562	0.205996	8.908
ENST00000540437.5	2629	2459.552	0.000000	0.000
ENST00000545578.5	2263	2093.552	0.000000	0.000
ENST00000620829.4	1862	1692.552	0.000000	0.000
ENST00000618806.4	1523	1353.552	0.000000	0.000
ENST00000435064.5	2148	1978.552	23.264559	2813.111
ENST00000411962.5	1832	1662.552	0.000000	0.000
ENST00000421495.6	1868	1698.552	0.000000	0.000
ENST00000419704.5	1798	1628.552	0.000000	0.000
ENST00000450926.6	1839	1669.552	0.000000	0.000
ENST00000434694.6	1056	886.552	0.000000	0.000
ENST00000526332.5	579	409.590	0.096220	2.409
ENST00000527719.5	750	580.570	0.049329	1.750
ENST00000530031.5	800	630.568	0.000000	0.000
ENST00000429572.5	1104	934.552	0.572847	32.718
ENST00000534345.5	485	315.633	0.000000	0.000
ENST00000498476.6	554	384.594	0.000000	0.000
ENST00000343938.9	2154	1984.552	15.982709	1938.463
ENST00000488011.1	783	613.569	0.161896	6.071
ENST00000339381.6	3475	3305.552	0.044551	9.000
ENST00000378891.9	2926	2756.552	7.157762	1205.835
ENST00000378888.10	3305	3135.552	0.360711	69.122
ENST00000610709.2	2268	2098.552	0.000000	0.000
ENST00000632445.1	785	615.569	0.000000	0.000
ENST00000631679.1	778	608.569	0.000000	0.000
ENST00000342753.8	2231	2061.552	0.000000	0.000
ENST00000309212.10	2273	2103.552	0.000000	0.000
ENST00000445648.5	2001	1831.552	0.000000	0.000
ENST00000477278.3	2728	2558.552	0.000000	0.000
ENST00000338370.7	1072	902.552	3.825499	211.011
ENST00000338338.9	1047	877.552	24.559455	1317.153
ENST00000321751.9	798	628.568	21.860178	839.751
ENST00000378853.3	875	705.562	34.195296	1474.505
ENST00000400809.8	3112	2942.552	4.953229	890.753
ENST00000408952.8	1857	1687.552	0.000000	0.000
ENST00000408918.8	1186	1016.552	5.055936	314.106
ENST00000497013.1	548	378.595	0.052761	1.221
ENST00000344843.12	700	530.574	100.009544	3242.890
ENST00000492508.1	588	418.590	2.470900	63.210
ENST00000482352.1	1049	879.552	0.707725	38.043
ENST00000520296.5	1632	1462.552	0.078314	7.000
ENST00000427211.3	1976	1806.552	0.000000	0.000
ENST00000537107.5	2190	2020.552	0.000000	0.000
ENST00000454272.2	1506	1336.552	0.000000	0.000
ENST00000442470.1	876	706.562	0.000000	0.000
ENST00000378821.3	492	322.622	0.000000	0.000
ENST00000495558.1	819	649.564	0.000000	0.000
ENST00000338660.5	2147	1977.552	0.772443	93.355
ENST00000476993.2	4492	4322.552	0.221996	58.645
ENST00000471398.1	458	288.675	0.000000	0.000
ENST00000378785.7	3864	3694.552	0.065420	14.771
ENST00000475091.2	525	355.604	0.000000	0.000
ENST00000673477.1	4098	3928.552	0.153644	36.889
