Uniprot	Gene_name	Used_as_a_bait_in_this_study	Number_of_citations (if_the_kinase_is_used_as_a_bait_here)	Family	Family_simple	Subfamily	Primary Reference: http://www.uniprot.org/docs/pkinfam.txt	Primary reference: original Uniprot annotation (as of 160708)	Secondary reference: original Manning annotation (as of 160708)	Notes
O95835	LATS1	FALSE	/	AGC Ser/Thr protein kinase family	AGC	Manning: NDR	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	"AGC:NDR:LATS	"	/
O15021	MAST4	FALSE	/	AGC Ser/Thr protein kinase family	AGC	Manning: MAST	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	"AGC:MAST:MAST	"	/
O14578	CRIK	FALSE	/	AGC Ser/Thr protein kinase family	AGC	Manning: DMPK	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	"AGC:DMPK:CRIK	"	/
Q9NRM7	LATS2	TRUE	98	AGC Ser/Thr protein kinase family	AGC	Manning: NDR	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	"AGC:NDR:LATS	"	/
O60307	MAST3	FALSE	/	AGC Ser/Thr protein kinase family	AGC	Manning: MAST	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	"AGC:MAST:MAST	"	/
Q6P0Q8	MAST2	FALSE	/	AGC Ser/Thr protein kinase family	AGC	Manning: MAST	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	"AGC:MAST:MAST	"	/
Q9Y2H1	NDR2	FALSE	/	AGC Ser/Thr protein kinase family	AGC	Manning: MAST	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	"AGC:MAST:MAST	"	/
Q96GX5	MASTL	FALSE	/	AGC Ser/Thr protein kinase family	AGC	Manning: MAST	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	"AGC:MAST:MASTL	"	/
Q15208	NDR1	TRUE	74	AGC Ser/Thr protein kinase family	AGC	Manning: NDR	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	"AGC:NDR:NDR	"	/
Q9Y2H9	MAST1	TRUE	15	AGC Ser/Thr protein kinase family	AGC	Manning: MAST	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	AGC:MAST:MAST 	/
O75116	ROCK	TRUE	154	AGC Ser/Thr protein kinase family	AGC	Manning: DMPK	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	"AGC:DMPK:ROCK	"	/
Q13464	ROCK1	FALSE	/	AGC Ser/Thr protein kinase family	AGC	Manning: DMPK	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	"AGC:DMPK:ROCK	"	/
O00141	SGK1	TRUE	228	AGC Ser/Thr protein kinase family	AGC	Manning: SGK	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	"AGC:SGK	"	/
Q96BR1	SGK3	TRUE	61	AGC Ser/Thr protein kinase family	AGC	Manning: SGK	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	"AGC:SGK	"	/
Q9HBY8	SGK2	TRUE	24	AGC Ser/Thr protein kinase family	AGC	Manning: SGK	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family	"AGC:SGK	"	/
O43930	PRKY	FALSE	/	AGC Ser/Thr protein kinase family	AGC	cAMP subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; cAMP subfamily	"AGC:PKA	"	/
P17612	PKACa	TRUE	541	AGC Ser/Thr protein kinase family	AGC	cAMP subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; cAMP subfamily	"AGC:PKA	"	/
P22612	PRKACG	TRUE	47	AGC Ser/Thr protein kinase family	AGC	cAMP subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; cAMP subfamily	AGC : PKA	/
P22694	PRKACB	TRUE	84	AGC Ser/Thr protein kinase family	AGC	cAMP subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; cAMP subfamily	AGC : PKA	/
P51817	PRKX	TRUE	24	AGC Ser/Thr protein kinase family	AGC	cAMP subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; cAMP subfamily	"AGC:PKA	"	/
Q13237	PRKG2	FALSE	/	AGC Ser/Thr protein kinase family	AGC	cGMP subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; cGMP subfamily	AGC : PKG	/
Q13976	PRKG1	TRUE	152	AGC Ser/Thr protein kinase family	AGC	cGMP subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; cGMP subfamily	AGC : PKG	/
Q09013	DMPK	FALSE	/	AGC Ser/Thr protein kinase family	AGC	DMPK subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; DMPK subfamily	AGC : DMPK : GEK	/
Q5VT25	CDC42BPA	FALSE	/	AGC Ser/Thr protein kinase family	AGC	DMPK subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; DMPK subfamily	AGC : DMPK : GEK	/
Q6DT37	DMPK2	FALSE	/	AGC Ser/Thr protein kinase family	AGC	DMPK subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; DMPK subfamily	"AGC:DMPK:GEK	"	/
Q9Y5S2	CDC42BPB	FALSE	/	AGC Ser/Thr protein kinase family	AGC	DMPK subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; DMPK subfamily	AGC : DMPK : GEK	/
P25098	BARK1	TRUE	198	AGC Ser/Thr protein kinase family	AGC	GPRK subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; GPRK subfamily	"AGC:GRK:BARK	"	/
P32298	GPRK4	TRUE	56	AGC Ser/Thr protein kinase family	AGC	GPRK subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; GPRK subfamily	"AGC:GRK:GRK	"	/
P34947	GPRK5	FALSE	/	AGC Ser/Thr protein kinase family	AGC	GPRK subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; GPRK subfamily	"AGC:GRK:GRK	"	/
P35626	BARK2	FALSE	/	AGC Ser/Thr protein kinase family	AGC	GPRK subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; GPRK subfamily	"AGC:GRK:BARK	"	/
P43250	GPRK6	TRUE	63	AGC Ser/Thr protein kinase family	AGC	GPRK subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; GPRK subfamily	"AGC:GRK:GRK	"	/
Q15835	RHOK	FALSE	/	AGC Ser/Thr protein kinase family	AGC	GPRK subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; GPRK subfamily	"AGC:GRK:GRK	"	/
Q8WTQ7	GPRK7	TRUE	14	AGC Ser/Thr protein kinase family	AGC	GPRK subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; GPRK subfamily	"AGC:GRK:GRK	"	/
O15530	PDK1	TRUE	205	AGC Ser/Thr protein kinase family	AGC	PDPK1 subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; PDPK1 subfamily	AGC : PDK1	/
Q6A1A2	PDPK2P	FALSE	/	AGC Ser/Thr protein kinase family	AGC	PDPK1 subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; PDPK1 subfamily	not found 	/
P05129	PKCg	TRUE	167	AGC Ser/Thr protein kinase family	AGC	PKC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; PKC subfamily	"AGC:PKC:PKCa	"	/
P05771	PKCb	TRUE	369	AGC Ser/Thr protein kinase family	AGC	PKC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; PKC subfamily	"AGC:PKC:PKCa	"	/
P17252	PKCa	TRUE	790	AGC Ser/Thr protein kinase family	AGC	PKC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; PKC subfamily	"AGC:PKC:PKCa	"	/
P24723	PRKCH	FALSE	/	AGC Ser/Thr protein kinase family	AGC	PKC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; PKC subfamily	AGC : PKC : PKCh	/
P41743	PRKCI	FALSE	/	AGC Ser/Thr protein kinase family	AGC	PKC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; PKC subfamily	AGC : PKC : PKCi	/
Q02156	PRKCE	TRUE	316	AGC Ser/Thr protein kinase family	AGC	PKC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; PKC subfamily	AGC : PKC : PKCh	/
Q04759	PRKCQ	FALSE	/	AGC Ser/Thr protein kinase family	AGC	PKC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; PKC subfamily	AGC : PKC : PKCd	/
Q05513	PRKCZ	TRUE	330	AGC Ser/Thr protein kinase family	AGC	PKC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; PKC subfamily	AGC : PKC : PKCi	/
Q05655	PRKCD	TRUE	609	AGC Ser/Thr protein kinase family	AGC	PKC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; PKC subfamily	AGC : PKC : PKCd	/
Q16512	PAK2	FALSE	/	AGC Ser/Thr protein kinase family	AGC	PKC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; PKC subfamily	"STE:STE20:PAKA	"	/
Q16513	PKN2	TRUE	73	AGC Ser/Thr protein kinase family	AGC	PKC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; PKC subfamily	"AGC:PKN	"	/
Q6P5Z2	PKN3	TRUE	22	AGC Ser/Thr protein kinase family	AGC	PKC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; PKC subfamily	"AGC:PKN	"	/
P31749	AKT1	TRUE	2684	AGC Ser/Thr protein kinase family	AGC	RAC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; RAC subfamily	"AGC:Akt	"	/
P31751	AKT2	TRUE	284	AGC Ser/Thr protein kinase family	AGC	RAC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; RAC subfamily	"AGC:Akt	"	/
Q9Y243	AKT3	TRUE	167	AGC Ser/Thr protein kinase family	AGC	RAC subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; RAC subfamily	"AGC:NDR:NDR	"	/
O75582	MSK1	TRUE	94	AGC Ser/Thr protein kinase family	AGC	S6 kinase subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; S6 kinase subfamily	"AGC:RSK:MSK	"	/
O75676	MSK2	TRUE	40	AGC Ser/Thr protein kinase family	AGC	S6 kinase subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; S6 kinase subfamily	"AGC:RSK:MSK	"	/
P23443	RPS6KB1	TRUE	330	AGC Ser/Thr protein kinase family	AGC	S6 kinase subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; S6 kinase subfamily	AGC : RSK : RSKp70	/
P51812	RSK2	TRUE	158	AGC Ser/Thr protein kinase family	AGC	S6 kinase subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; S6 kinase subfamily	"AGC:RSK:RSKp90	"	/
Q15349	RSK3	TRUE	65	AGC Ser/Thr protein kinase family	AGC	S6 kinase subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; S6 kinase subfamily	"AGC:RSK:RSKp90	"	/
Q15418	RSK1	TRUE	179	AGC Ser/Thr protein kinase family	AGC	S6 kinase subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; S6 kinase subfamily	"AGC:RSK:RSKp90	"	/
Q9UBS0	RPS6KB2	TRUE	51	AGC Ser/Thr protein kinase family	AGC	S6 kinase subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; S6 kinase subfamily	AGC : RSK : RSKp70	/
Q9UK32	RSK4	TRUE	35	AGC Ser/Thr protein kinase family	AGC	S6 kinase subfamily	AGC	Protein kinase superfamily; AGC Ser/Thr protein kinase family; S6 kinase subfamily	"AGC:RSK:RSKp90	"	/
Q3MIX3	ADCK5	FALSE	/	Atypical	Atypical	Atypical ADCK protein kinase family	Atypical	Protein kinase superfamily; ADCK protein kinase family	"Atypical:ABC1:ABC1-D	"	Used Manning for classification as Atypical
