Unip_ID	Kin_name	NetPhorest	Family	Subfamily	Alt_name	Classif_based_on	
P31749	AKT1	AGC_group	AGC	RAC	PKB	KINASE	PKBalpha
P31749	AKT1	AGC_group	AGC	RAC	PKB	KINASE	PKBbeta
P31749	AKT1	AGC_group	AGC	RAC	PKB	KINASE	PKBgamma
Q9Y243	AKT3	AGC_group	AGC	RAC	PKBG	KINASE	PKBgamma
O00141	SGK1	AGC_group	AGC	/	/	KINASE	SGK1
Q96BR1	SGK3	AGC_group	AGC	/	/	KINASE	SGK3
Q9HBY8	SGK2	AGC_group	AGC	/	/	KINASE	SGK2
P17252	PKCa	AGC_group	AGC	PKC	/	KINASE	PKCalpha
P05771	PKCb	AGC_group	AGC	PKC	/	KINASE	PKCbeta
P05129	PKCg	AGC_group	AGC	PKC	/	KINASE	PKCgamma
Q02156	PRKCE	AGC_group	AGC	PKC	PKCE	KINASE	PKCeta
Q02156	PRKCE	AGC_group	AGC	PKC	PKCE	KINASE	PKCepsilon
Q16513	PKN2	AGC_group	AGC	PKC	/	KINASE	PKN2
Q6P5Z2	PKN3	AGC_group	AGC	PKC	/	KINASE	PKN3
O75676	MSK2	AGC_group	AGC	S6 kinase	RPS6KA4	KINASE	RPS6KA4
Q15418	RSK1	AGC_group	AGC	S6 kinase	/	KINASE	RSK1
P51812	RSK2	AGC_group	AGC	S6 kinase	/	KINASE	RSK2
Q15349	RSK3	AGC_group	AGC	S6 kinase	/	KINASE	RSK3
Q9UK32	RSK4	AGC_group	AGC	S6 kinase	/	KINASE	RSK4
P25098	BARK1	AGC_group	AGC	GPRK	GRK2	KINASE	GRK2
Q8WTQ7	GPRK7	AGC_group	AGC	GPRK	GRK7	KINASE	GRK7
P32298	GPRK4	AGC_group	AGC	GPRK	GRK4	KINASE	GRK4
P43250	GPRK6	AGC_group	AGC	GPRK	GRK6	KINASE	GRK6
O75116	ROCK	AGC_group	AGC	ROCK	/	KINASE	ROCK2
O75116	ROCK	AGC_group	AGC	ROCK	/	KINASE	ROCK1
Q15208	NDR1	AGC_group	AGC	NDR	/	KINASE	NDR1
Q9NRM7	LATS2	AGC_group	AGC	LATS	/	KINASE	LATS2
Q9Y2H9	MAST1	AGC_group	AGC	QIK	/	KINASE	MAST1
Q86UX6	YANK3	AGC_group	other	/	/	KINASE	YANK3
Q9NY57	YANK2	AGC_group	other	/	/	KINASE	YANK2
Q8WU08	YANK1	AGC_group	other	/	/	KINASE	YANK1
P51817	PRKX	AGC_group	AGC	cAMP	/	KINASE	PRKX
O15530	PDK1	AGC_group	AGC	PDPK1	/	KINASE	PDK1
P53350	PLK1	AGC_group	other	CDC5/Polo	/	KINASE	PLK1
Q9H4B4	PLK3	AGC_group	other	CDC5/Polo	/	KINASE	PLK3
Q9NYY3	PLK2	AGC_group	other	CDC5/Polo	/	KINASE	PLK2
P53350	PLK1	AGC_group	other	CDC5/Polo	PLK	KINASE	PLK4
P31749	AKT1	PKB_group	AGC	RAC	PKB	KINASE	PKBalpha
P31749	AKT1	PKB_group	AGC	RAC	PKB	KINASE	PKBbeta
P31749	AKT1	PKB_group	AGC	RAC	PKB	KINASE	PKBgamma
Q9Y243	AKT3	PKB_group	AGC	RAC	PKBG	KINASE	PKBgamma
P31749	AKT1	PKBalpha_PKBbeta_group	AGC	RAC	PKB	KINASE	PKBalpha
P31749	AKT1	PKBalpha_PKBbeta_group	AGC	RAC	PKB	KINASE	PKBbeta
P31749	AKT1	PKBalpha	AGC	RAC	PKB	KINASE	PKBalpha
P31749	AKT1	PKBbeta	AGC	RAC	PKB	KINASE	PKBbeta
P31749	AKT1	PKBgamma	AGC	RAC	PKB	KINASE	PKBgamma
Q9Y243	AKT3	PKBgamma	AGC	RAC	PKBG	KINASE	PKBgamma
O00141	SGK1	SGK_group	AGC	/	/	KINASE	SGK1
Q96BR1	SGK3	SGK_group	AGC	/	/	KINASE	SGK3
Q9HBY8	SGK2	SGK_group	AGC	/	/	KINASE	SGK2
